Combined_Text,Item_Value,Item_Quantity,Taxes_Credit_%,Taxes_Credit_Amount,Month,Item_Description_Length,Item_Description_Word_Count,Has_Tax_Credit
it recruitment retail trade of other products not elsewhere classified,18000,1,0,0.0,8,14,2,0
"industrial drill commercial representatives and agents of fuels, minerals, steel, and chemical products",1200,2,20,480.0,8,16,2,1
"iso 9001 audit commercial representatives and agents of machinery, equipment, ships, and aircraft",25000,1,0,0.0,8,14,3,0
special screws (box of 100) it consulting,150,5,20,150.0,8,27,5,1
meal voucher purchase technical expertise services related to occupational safety,22200,1,0,0.0,8,21,3,0
nr10 training other business support services not elsewhere classified,5000,1,0,0.0,8,13,2,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,9,33,5,0
assistance with flight and hotel arrangements travel agencies,2000,1,0,0.0,9,45,6,0
legal advisory in labor lawsuit legal services,2000,1,0,0.0,9,31,5,0
"consulting on budget planning business management consulting, except specialized technical consulting",22000,1,0,0.0,9,29,4,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,9,39,7,0
electrical component type abb retail trade of electrical materials,500,3,30,450.0,9,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,9,31,4,0
server maintenance it consulting,3200,1,0,0.0,9,18,2,0
salary survey building and residential cleaning,8000,1,0,0.0,9,13,2,0
preventive maintenance for machine y retail trade of household cleaning products,4500,1,20,900.0,9,36,5,1
graphic material production actuarial auditing and consulting,12000,1,0,0.0,9,27,3,0
"building maintenance business management consulting, except specialized technical consulting",8000,1,0,0.0,9,20,2,0
safety goggles retail trade of hardware and tools,80,30,20,480.0,9,14,2,1
"content production business management consulting, except specialized technical consulting",12000,1,0,0.0,9,18,2,0
corporate uniform – winter real estate property management and administration,180,80,0,0.0,9,26,4,0
chemical product b (50l) retail trade of fabrics,1200,5,30,1800.0,9,24,4,1
corporate uniform – winter real estate property management and administration,180,80,0,0.0,9,26,4,0
assistance with flight and hotel arrangements travel agencies,2000,1,0,0.0,9,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,9,39,7,0
electrical component type abb retail trade of electrical materials,500,3,30,450.0,9,29,4,1
compliance training professional and managerial development training,7500,1,0,0.0,9,19,2,0
"cleaning products (kit) commercial representatives and agents of wood, construction materials, and hardware",850,2,0,0.0,9,23,3,0
payment system maintenance advertising consulting,2500,1,0,0.0,9,26,3,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,9,31,4,0
disinfectant (10l) other business support services not elsewhere classified,120,8,0,0.0,9,18,2,0
management recruitment retail trade of other products not elsewhere classified,22000,1,0,0.0,9,22,2,0
"circular saw commercial representatives and agents of fuels, minerals, steel, and chemical products",850,1,20,170.0,9,12,2,1
"process consulting commercial representatives and agents of machinery, equipment, ships, and aircraft",5000,1,0,0.0,9,18,2,0
nuts and washers (kit) it consulting,80,10,20,160.0,9,22,4,1
meal voucher purchase technical expertise services related to occupational safety,22200,1,0,0.0,9,21,3,0
nr35 training other business support services not elsewhere classified,6000,1,0,0.0,9,13,2,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,10,33,5,0
assistance with flight and hotel arrangements travel agencies,400,1,0,0.0,10,45,6,0
legal advisory in labor lawsuit legal services,2000,1,0,0.0,10,31,5,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,10,39,7,0
electrical component type abu retail trade of electrical materials,45,10,20,90.0,10,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,10,31,4,0
machine learning training it consulting,14500,1,0,0.0,10,25,3,0
team management training building and residential cleaning,12000,1,0,0.0,10,24,3,0
spare part for machine z retail trade of household cleaning products,2800,3,20,1680.0,10,24,5,1
social media management actuarial auditing and consulting,18000,1,0,0.0,10,23,3,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,10,26,5,1
helmets retail trade of hardware and tools,150,20,20,600.0,10,7,1,1
"digital campaign – march business management consulting, except specialized technical consulting",28000,1,0,0.0,10,24,4,0
custom t-shirts real estate property management and administration,60,120,0,0.0,10,15,2,0
chemical product c (10l) retail trade of fabrics,300,20,30,1800.0,10,24,4,1
circuit breaker 30a retail trade of electrical materials,350,4,30,420.0,10,19,3,1
project management training professional and managerial development training,6000,1,0,0.0,10,27,3,0
"disposable cups (box of 1000) commercial representatives and agents of wood, construction materials, and hardware",180,5,0,0.0,10,29,5,0
gateway configuration advertising consulting,3800,1,0,0.0,10,21,2,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,10,31,4,0
trash bag 100l (roll of 50) other business support services not elsewhere classified,65,15,0,0.0,10,27,6,0
executive headhunting retail trade of other products not elsewhere classified,35000,1,0,0.0,10,21,2,0
"torque wrench set commercial representatives and agents of fuels, minerals, steel, and chemical products",420,3,20,252.0,10,17,3,1
"ims implementation commercial representatives and agents of machinery, equipment, ships, and aircraft",12000,1,0,0.0,10,18,2,0
gasket it consulting,35,20,20,140.0,10,6,1,1
meal voucher purchase technical expertise services related to occupational safety,22200,1,0,0.0,10,21,3,0
cipa training other business support services not elsewhere classified,4500,1,0,0.0,10,13,2,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,11,33,5,0
assistance with flight and hotel arrangements travel agencies,500,1,0,0.0,11,45,6,0
legal advisory in labor lawsuit legal services,2000,1,0,0.0,11,31,5,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,11,39,7,0
electrical component type abb retail trade of electrical materials,500,4,30,600.0,11,29,4,1
annual financial audit retail trade of hardware and tools,32000,1,0,0.0,11,22,3,0
server maintenance it consulting,3200,1,0,0.0,11,18,2,0
performance evaluation building and residential cleaning,9500,1,0,0.0,11,22,2,0
industrial lubricants retail trade of household cleaning products,1200,5,20,1200.0,11,21,2,1
advertising campaign – q3 actuarial auditing and consulting,42000,1,0,0.0,11,25,4,0
"building maintenance business management consulting, except specialized technical consulting",5000,1,0,0.0,11,20,2,0
ear protection retail trade of hardware and tools,40,60,20,480.0,11,14,2,1
"social media management business management consulting, except specialized technical consulting",15000,1,0,0.0,11,23,3,0
corporate jackets real estate property management and administration,200,50,0,0.0,11,17,2,0
chemical product d (200l) retail trade of fabrics,4500,2,30,2700.0,11,25,4,1
"a4 paper (ream) commercial representatives and agents of wood, construction materials, and hardware",25,20,0,0.0,11,15,3,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,11,31,4,0
rubber gloves (pair) other business support services not elsewhere classified,15,30,0,0.0,11,20,3,0
"air compressor commercial representatives and agents of fuels, minerals, steel, and chemical products",1800,1,20,360.0,11,14,2,1
industrial belt it consulting,120,6,20,144.0,11,15,2,1
firefighting training other business support services not elsewhere classified,3800,1,0,0.0,11,21,2,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,12,33,5,0
assistance with flight and hotel arrangements travel agencies,500,1,0,0.0,12,45,6,0
legal advisory in tax lawsuit legal services,30000,1,0,0.0,12,29,5,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,12,39,7,0
electrical component type abu retail trade of electrical materials,45,10,20,90.0,12,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,12,31,4,0
server maintenance it consulting,3200,1,0,0.0,12,18,2,0
consulting on job classification plan building and residential cleaning,18000,1,0,0.0,12,37,5,0
special tools retail trade of household cleaning products,3800,2,20,1520.0,12,13,2,1
institutional video production actuarial auditing and consulting,25000,1,0,0.0,12,30,3,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,12,26,5,0
safety boots retail trade of hardware and tools,200,15,20,600.0,12,12,2,1
"digital campaign – may business management consulting, except specialized technical consulting",30000,1,0,0.0,12,22,4,0
professional trousers real estate property management and administration,120,70,0,0.0,12,21,2,0
chemical product a (20l) retail trade of fabrics,550,8,30,1320.0,12,24,4,1
"printer toner commercial representatives and agents of wood, construction materials, and hardware",300,3,0,0.0,12,13,2,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,12,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,1,33,5,0
assistance with flight and hotel arrangements travel agencies,1100,1,0,0.0,1,45,6,0
legal advisory in tax lawsuit legal services,30000,1,0,0.0,1,29,5,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,1,39,7,0
electrical component type aaa retail trade of electrical materials,2000,1,30,600.0,1,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,1,31,4,0
server maintenance it consulting,3200,1,0,0.0,1,18,2,0
organizational climate survey building and residential cleaning,7500,1,0,0.0,1,29,3,0
branding consulting actuarial auditing and consulting,15000,1,0,0.0,1,19,2,0
"building maintenance business management consulting, except specialized technical consulting",8500,1,0,0.0,1,20,2,0
reflective vests retail trade of hardware and tools,90,25,20,450.0,1,16,2,1
"video production business management consulting, except specialized technical consulting",22000,1,0,0.0,1,16,2,0
corporate shorts real estate property management and administration,90,60,0,0.0,1,16,2,0
chemical product b (50l) retail trade of fabrics,1250,4,30,1500.0,1,24,4,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,1,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,2,33,5,0
assistance with flight and hotel arrangements travel agencies,700,1,0,0.0,2,45,6,0
legal advisory in civil lawsuit legal services,12500,1,0,0.0,2,31,5,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,2,39,7,0
electrical component type aaa retail trade of electrical materials,1900,1,30,570.0,2,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,2,31,4,0
server maintenance it consulting,3500,1,0,0.0,2,18,2,0
technical recruitment building and residential cleaning,15000,1,0,0.0,2,21,2,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,2,26,5,1
respiratory masks retail trade of hardware and tools,60,100,20,1200.0,2,17,2,1
"digital campaign – july business management consulting, except specialized technical consulting",32000,1,0,0.0,2,23,4,0
corporate uniform – summer real estate property management and administration,160,90,0,0.0,2,26,4,0
chemical product c (10l) retail trade of fabrics,320,15,30,1440.0,2,24,4,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,2,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,3,33,5,0
assistance with flight and hotel arrangements travel agencies,400,1,0,0.0,3,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,3,39,7,0
electrical component type aaa retail trade of electrical materials,1900,2,30,1140.0,3,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,3,31,4,0
"building maintenance business management consulting, except specialized technical consulting",5000,1,0,0.0,3,20,2,0
safety gloves retail trade of hardware and tools,130,40,20,1040.0,3,13,2,1
"seo consulting business management consulting, except specialized technical consulting",18000,1,0,0.0,3,14,2,0
professional aprons real estate property management and administration,70,40,0,0.0,3,19,2,0
chemical product d (200l) retail trade of fabrics,4800,1,30,1440.0,3,25,4,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,3,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,4,33,5,0
assistance with flight and hotel arrangements travel agencies,1400,1,0,0.0,4,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,4,39,7,0
electrical component type abu retail trade of electrical materials,48,12,20,115.2,4,29,4,1
annual financial audit retail trade of hardware and tools,32000,1,0,0.0,4,22,3,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,4,26,5,0
safety goggles retail trade of hardware and tools,85,35,20,595.0,4,14,2,1
"digital campaign – september business management consulting, except specialized technical consulting",35000,1,0,0.0,4,28,4,0
corporate uniform – winter real estate property management and administration,190,60,0,0.0,4,26,4,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,4,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,5,33,5,0
assistance with flight and hotel arrangements travel agencies,2500,1,0,0.0,5,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,5,39,7,0
electrical component type aaa retail trade of electrical materials,1900,1,30,570.0,5,29,4,1
consulting on internal controls retail trade of hardware and tools,6000,1,0,0.0,5,31,4,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,5,26,5,1
helmets retail trade of hardware and tools,160,18,20,576.0,5,7,1,1
"graphic material production business management consulting, except specialized technical consulting",15000,1,0,0.0,5,27,3,0
custom t-shirts real estate property management and administration,65,100,0,0.0,5,15,2,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,5,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,6,33,5,0
assistance with flight and hotel arrangements travel agencies,1200,1,0,0.0,6,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,6,39,7,0
electrical component type abb retail trade of electrical materials,550,2,30,330.0,6,29,4,1
consulting on internal controls retail trade of hardware and tools,6000,1,0,0.0,6,31,4,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,6,26,5,0
"digital campaign – november business management consulting, except specialized technical consulting",38000,1,0,0.0,6,27,4,0
corporate jackets real estate property management and administration,210,40,0,0.0,6,17,2,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,6,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,7,33,5,0
assistance with flight and hotel arrangements travel agencies,400,1,0,0.0,7,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,7,39,7,0
electrical component type abu retail trade of electrical materials,48,8,20,76.80000000000001,7,29,4,1
annual financial audit retail trade of hardware and tools,32000,1,0,0.0,7,22,3,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,7,26,5,1
"performance report business management consulting, except specialized technical consulting",12000,1,0,0.0,7,18,2,0
professional trousers real estate property management and administration,125,50,0,0.0,7,21,2,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,7,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,8,33,5,0
assistance with flight and hotel arrangements travel agencies,800,1,0,0.0,8,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,8,39,7,0
electrical component type abb retail trade of electrical materials,550,4,30,660.0,8,29,4,1
consulting on internal controls retail trade of hardware and tools,6000,1,0,0.0,8,31,4,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,8,26,5,0
corporate uniform – summer real estate property management and administration,170,80,0,0.0,8,26,4,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,8,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,9,33,5,0
assistance with flight and hotel arrangements travel agencies,400,1,0,0.0,9,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,9,39,7,0
electrical component type aaa retail trade of electrical materials,2200,1,30,660.0,9,29,4,1
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,9,26,5,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,9,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,10,33,5,0
assistance with flight and hotel arrangements travel agencies,400,1,0,0.0,10,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,10,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,10,26,5,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,10,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,11,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,11,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,11,26,5,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,11,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,12,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,12,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,12,26,5,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,12,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,1,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,1,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,1,26,5,1
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,1,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,2,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,2,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,2,26,5,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,2,31,4,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,3,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,16500,1,0,0.0,3,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,3,26,5,1
"review of federal tax obligations business management consulting, except specialized technical consulting",2200,1,0,0.0,4,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,4,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,4,26,5,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2500,1,0,0.0,5,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,5,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,5,26,5,1
"review of federal tax obligations business management consulting, except specialized technical consulting",2500,1,0,0.0,6,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,6,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,6,26,5,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2500,1,0,0.0,7,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,7,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,7,26,5,1
"review of federal tax obligations business management consulting, except specialized technical consulting",2500,1,0,0.0,8,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,8,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,8,26,5,0
"review of federal tax obligations business management consulting, except specialized technical consulting",2500,1,0,0.0,9,33,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,9,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,9,26,5,1
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,10,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,10,26,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,11,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,11,26,5,1
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,12,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,12,26,5,0
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,1,39,7,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,1,26,5,1
provision of 2 security guards for gate electronic security system monitoring activities,18000,1,0,0.0,1,39,7,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,1,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,3,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,4,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,5,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,5,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,6,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,7,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,8,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,9,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,10,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,11,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,12,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,1,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,2,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,3,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,4,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,5,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,6,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,7,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,8,26,5,1
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,9,26,5,0
"monthly rent – warehouse b business management consulting, except specialized technical consulting",18000,1,20,3600.0,10,26,5,1
